gene,260Sch-1_S13,260Sch-2_S14,260Sch-3_S15,820LT-1_S1,820LT-2_S2,820LT-3_S3,820Sch-1_S10,820Sch-2_S11,820Sch-3_S12,G260-1_S4,G260-2_S5,G260-3_S6,G260sch-1-23468787,G260sch-2-23468788,G260sch-3-23468793
PBANKA_0942100,3459,2769,3010,4940,2229,6250,1640,1823,1311,4487,5733,4776,658,576,830
PBANKA_0942200,3871,3781,3490,6074,4602,8615,1849,2093,1442,7244,8563,7276,803,843,1026
PBANKA_0942300,290,216,230,67,31,12,586,950,839,11,4,4,200,137,151
PBANKA_0942400,608,621,516,157,73,101,1274,2011,1425,69,104,72,625,440,459
PBANKA_0942500,30694,26782,28281,25706,12894,33882,21305,21485,16576,24911,29591,25375,9990,8429,13520
PBANKA_0942600,3329,2584,3046,2763,1341,3415,1925,2000,1489,2863,3535,3038,790,751,959
PBANKA_0942700,40971,38426,39319,13038,6710,15461,50435,49286,37686,11779,14594,12054,34908,30430,39640
PBANKA_0942800,2132,1738,1843,2241,988,2526,1693,1690,1436,2510,2960,2448,1586,774,1073
PBANKA_0942900,6290,5114,5009,7238,3097,7943,5044,5970,4370,6781,8076,6815,1834,1536,1586
PBANKA_0943000,69,56,52,63,25,45,71,163,74,40,46,39,26,24,52
PBANKA_0943100,45928,36818,39296,32164,11806,29323,22625,21493,17442,25070,28379,24451,9911,9237,12202
PBANKA_0943200,4741,3930,4229,4578,2244,5538,3291,3070,2293,4034,4831,4397,975,908,1166
PBANKA_0943300,3817,3139,3489,3873,2023,4948,1833,2010,1176,3850,4725,3716,772,729,964
PBANKA_0943400,1325,1021,961,5151,4043,457,25726,26749,19451,386,486,450,2216,1680,2388
PBANKA_0943500,11386,9527,8588,6426,3038,8453,7496,7302,6159,7028,8930,7181,7641,4261,6098
PBANKA_0943541,154,167,148,40,53,91,324,443,250,44,155,42,120,39,70
PBANKA_0943561,16,22,12,3,3,7,21,18,18,3,16,8,2,6,1
PBANKA_0943600,29377,26396,26951,33405,24392,49470,28812,35736,26459,42487,44762,43877,20258,12460,16911
PBANKA_0943700,9,5,6,20,15,16,24,41,14,7,13,4,6,5,1
PBANKA_0943800,22,20,17,64,42,106,99,104,112,14,22,12,31,0,9
PBANKA_0943900,98,157,110,545,168,411,23533,20360,16199,8,31,54,71,45,96
PBANKA_0944000,542,601,554,551,378,649,407,362,362,1058,1210,1030,67,107,94
PBANKA_0944021,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
PBANKA_0944041,51,71,52,28,8,24,997,933,873,2,10,4,2641,1479,2455
PBANKA_0944061,263,199,193,164,76,177,99,130,115,381,574,401,80,38,61
PBANKA_0944081,141,98,123,51,35,86,59,73,39,163,184,129,19,20,8
PBANKA_0944101,477,432,430,561,278,584,468,438,296,556,723,606,118,82,109
PBANKA_0944121,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1
PBANKA_1000011,3738,3663,2958,243,93,185,2434,2699,2154,482,732,544,24587,15554,20479
PBANKA_1000021,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0
PBANKA_1000031,0,1,0,0,0,3,0,0,1,5,7,8,0,0,0
PBANKA_1000041,1,1,5,0,1,2,1,2,2,5,5,9,23,13,14
PBANKA_1000051,43,48,39,31,15,31,63,59,64,67,106,89,152,67,117
PBANKA_1000061,2,0,2,0,0,4,0,0,0,1,2,1,0,0,0
PBANKA_1000071,2,0,1,2,1,5,2,1,1,2,1,1,2,1,2
PBANKA_1000081,16,9,13,3,0,0,3,2,6,0,0,0,10,6,18
PBANKA_1000091,0,1,0,1,0,1,0,1,0,1,0,2,0,2,1
PBANKA_1000100,63,66,49,26,9,29,696,652,734,33,34,41,3446,1858,2143
PBANKA_1000200,3,0,0,0,1,0,1,4,1,0,1,1,2,0,1
PBANKA_1000300,7578,6441,6585,6801,3512,8073,4272,5296,4015,5982,6764,5829,3354,2567,3172
PBANKA_1000400,632,613,511,1362,767,1512,388,406,254,1284,1307,1316,124,116,94
PBANKA_1000451,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
PBANKA_1000500,9729,8006,8197,7242,3612,9390,8263,10939,7732,7573,9509,7613,4990,3355,4279
PBANKA_1000600,22617,24837,19892,28508,16490,40817,78942,103962,79760,38093,42650,37074,111510,55787,67234
PBANKA_1000651,2,2,2,5,0,3,4,8,7,3,3,1,0,2,0
PBANKA_1000700,5146,4075,4423,5652,3040,7489,3288,3051,2577,5639,6776,5656,1146,1092,1706
PBANKA_1000800,4098,3603,3393,3602,3029,5390,2109,2225,1756,5223,5832,4774,739,668,1202
PBANKA_1000900,349,239,331,240,118,182,349,328,180,149,231,205,62,46,79
PBANKA_1001000,21388,19666,19360,6545,2508,6504,21189,20221,15486,4992,6116,4917,17057,14983,19693
PBANKA_1001100,4220,3065,3472,3483,1335,3488,3069,2727,2278,2261,2386,2195,1595,1380,1628
PBANKA_1001200,555,412,401,217,89,144,638,775,524,186,178,189,216,204,245
PBANKA_1001300,11673,9646,10937,905,277,570,8142,8343,6467,110,61,100,4122,4115,5287
PBANKA_1001400,15382,13328,13895,9790,5105,11411,13733,13543,9802,9256,11647,10043,5164,4771,6891
PBANKA_1001500,11002,11417,9660,1182,471,1100,23989,21161,16513,941,1231,980,19550,14680,24144
PBANKA_1001600,11692,9802,10125,6252,2433,6397,11682,11257,8203,4039,4791,4003,8783,7423,11213
PBANKA_1001700,705,1051,789,24,8,32,4304,4372,2932,20,25,48,5097,4010,6952
PBANKA_1001800,5410,4560,4744,1998,820,2546,7612,5489,4839,2031,2101,2082,2966,2196,3308
PBANKA_1001900,2823,2285,2358,1776,1018,2635,1432,1285,1006,2110,2377,2045,655,666,979
PBANKA_1002000,19224,16177,16712,14825,8059,19577,12047,12463,9682,15946,18862,16495,5102,4599,6688
PBANKA_1002100,2795,3185,2992,762,502,29,7874,8134,5788,22,32,41,2240,1877,2459
PBANKA_1002200,70,40,65,4,0,0,51,58,37,2,0,0,58,48,49
PBANKA_1002300,1389,1496,1431,138,68,133,4880,4689,2669,178,212,228,3340,3001,4844
PBANKA_1002400,12889,17812,13529,112,62,43,66793,58178,40056,122,127,202,94681,69177,99100
PBANKA_1002500,1851,1846,1698,216,117,23,5200,5786,4114,30,35,28,13644,7223,8621
PBANKA_1002600,17173,21972,14659,216,137,41,91827,108221,74420,492,585,587,199341,104880,170117
PBANKA_1002700,1848,1599,1739,1466,656,1676,3370,3901,2906,1449,1878,1527,3730,2087,2193
PBANKA_1002800,30437,25659,26338,13354,5953,16119,24695,22347,16992,13414,17056,12717,11391,9734,13910
PBANKA_1002900,3422,4033,3062,447,171,360,10548,10633,7180,197,258,239,15570,11470,15822
PBANKA_1003000,2244,1718,1723,1822,859,1875,1137,1043,842,1525,1784,1919,450,486,661
PBANKA_1003100,56662,48963,47875,38447,17118,47318,45241,46526,36235,37947,48240,36275,29013,24689,35405
