gene,ERR022872,ERR022873,ERR022874,ERR022875,ERR022876,ERR022877,ERR022878,ERR022879,ERR022880,ERR022881,ERR022882,ERR022883
gene:Smp_173150,2036,2129,281,2149,1003,4786,3638,1079,379,464,553,530
gene:Smp_173160,0,0,1,0,2,2,3,166,53,62,48,41
gene:Smp_173180,960,1299,414,520,1352,910,953,1485,1419,1566,1378,1454
gene:Smp_173190,2785,711,923,2414,3724,5523,4128,7595,7879,6427,4810,6162
gene:Smp_173200,0,0,0,0,0,0,0,0,0,0,0,5
gene:Smp_173210,48,713,443,75,1782,509,401,4523,2284,1930,1620,1890
gene:Smp_173230,451,318,168,207,690,1314,948,2108,5145,4450,3865,4542
gene:Smp_173240,935,475,411,673,1455,1985,1237,6698,12377,9832,10722,12074
gene:Smp_173250,890,232,802,793,3204,1930,1251,6143,3419,2548,2543,3021
gene:Smp_173280,1153,1214,476,762,1636,2447,1425,1588,1514,1605,1247,1240
gene:Smp_173320,1544,392,609,892,2895,3755,2466,9352,11516,8218,6285,8128
gene:Smp_173330,1112,1187,847,960,3148,2016,1310,9162,9660,8889,6642,8055
gene:Smp_173340,171,206,93,69,374,402,254,2318,5031,4670,4966,5059
gene:Smp_173350,0,0,3,14,7,125,77,37,2,2,1,0
gene:Smp_173360,0,6,0,0,0,0,0,0,0,0,1,0
gene:Smp_173380,774,1200,717,581,2774,2105,1367,6365,5010,4225,4458,4911
gene:Smp_173410,2018,2009,732,1678,2432,4059,2649,1692,1895,1800,1602,1755
gene:Smp_173420,92,665,48,58,157,294,135,190,344,390,348,384
gene:Smp_173480,23,1592,57,20,176,45,20,119,248,267,192,266
gene:Smp_173550,531,1918,158,338,822,748,575,1206,2013,1945,1634,1829
gene:Smp_173580,7309,2172,1491,8055,5163,11402,8612,6445,2815,3334,2864,2903
gene:Smp_173610,230,206,463,96,2069,474,358,4521,743,638,587,690
gene:Smp_173620,1674,2611,685,997,2461,3162,2604,6216,5256,5559,4611,4802
gene:Smp_173640,1250,517,567,717,1931,2123,1472,2842,1779,2135,1349,1567
gene:Smp_173650,1284,542,487,649,1639,2962,1995,1498,1250,1116,1139,1364
gene:Smp_173700,1543,401,579,915,2483,3062,2105,4915,5553,4814,4155,5140
gene:Smp_173730,1275,1341,417,916,1521,2615,2174,4490,4899,4962,5631,5740
gene:Smp_173760,361,125,239,299,1005,1236,921,4091,4123,3085,2611,3102
gene:Smp_173790,978,1572,171,588,714,2038,1380,1120,4150,3328,3197,3576
gene:Smp_173810,819,477,411,585,1663,2082,1158,4455,4201,3435,2980,3554
gene:Smp_173840,4164,5048,1679,2669,6287,9283,6275,5978,7610,7860,7660,7875
gene:Smp_173880,160,110,40,46,160,344,269,223,338,251,296,241
gene:Smp_173900,1969,1391,1172,1341,4032,3295,2610,9323,6156,5593,5145,5895
gene:Smp_173910,1801,817,577,1656,1896,3856,3056,1711,553,457,402,498
gene:Smp_173940,1687,1794,594,963,2307,3213,2148,4580,5331,5129,4273,5073
gene:Smp_174060,2,2,0,16,2,28,24,0,0,1,0,1
gene:Smp_174090,316,24,34,278,151,907,710,93,163,177,105,108
gene:Smp_174110,198,651,93,173,339,538,315,1540,2378,2047,1683,1915
gene:Smp_174130,711,519,315,339,1134,1045,660,1123,1824,1636,1229,1437
gene:Smp_174140,0,0,2,0,1,8,1,0,0,0,2,1
gene:Smp_174170,205,161,288,96,1247,620,437,8303,10423,8912,7381,8487
gene:Smp_174190,36,34,6,30,38,62,31,326,1146,1061,1569,1232
gene:Smp_174220,1364,1556,610,1043,2318,3358,2356,9533,7236,7797,6906,6919
